label,strain,UAB
GCF_000229305,TCI-191,0
GCF_000229325,TCI-196,0
GCF_000229345,TCI-201,0
GCF_000229365,TCI-202,0
GCF_000229385,TCI-204,0
GCF_000229405,TCI-210,0
GCF_000229425,TCI-212,0
GCF_000229445,TCI-218,0
GCF_000229465,TCI-219,0
GCF_000229485,TCI-220,0
GCF_000229505,TCI-222,0
GCF_000229525,TCI-223,0
GCF_000229545,TCI-224,0
GCF_000229565,TCI-227,0
GCF_000229585,TCI-228,0
GCF_000229605,TCI-234,0
GCF_000229625,TCI-239,0
GCF_000229645,TCI-242,0
GCF_000229665,TCI-243,0
GCF_000229685,TCI-244,0
GCF_000229705,TCI-249,0
GCF_000229725,TCI-256,0
GCF_000229745,TCI-260,0
GCF_000229765,TCI-264,0
GCF_000229785,TCI-267,0
GCF_000229805,TCI-268,0
GCF_000229825,TCI-278,0
GCF_000229845,TCI-279,0
GCF_000229865,TCI-280,0
GCF_000229885,TCI-289,0
GCF_000229905,TCI-292,0
GCF_000229925,TCI-294,0
GCF_000229945,TCI-298,0
GCF_000229965,TCI-30,0
GCF_000229985,TCI-399,0
GCF_000230005,TCI-400,0
GCF_000230025,TCI-51,0
GCF_000230045,TCI-62,0
GCF_000230065,TCI-70,0
GCF_000230085,TCI-75,0
GCF_000230105,TCI-78,0
GCF_000230125,TCI-82,0
GCF_000230145,TCI-85,0
GCF_000230165,TCI-86,0
GCF_000230185,TCI-92,0
GCF_000230205,TCI-96,0
GCF_000230225,TCI-99,0
GCF_000339795,U138,0
GCF_000339475,U2A,0
GCF_000340175,U2B,0
GCF_024762155,UA-159,0
GCF_008831365,UA140,0
GCF_012641085,UA140,0
GCF_000007465,UA159,0
GCF_000817065,UA159-FR,0
GCF_012642405,UAB-1,1
GCF_012642225,UAB-10,1
GCF_012641665,UAB-11,1
GCF_012641625,UAB-12,1
GCF_012641605,UAB-13,1
GCF_012641615,UAB-14,1
GCF_012641575,UAB-15,1
GCF_012641565,UAB-16,1
GCF_012642205,UAB-17,1
GCF_012642185,UAB-18,1
GCF_012642165,UAB-19,1
GCF_012642365,UAB-2,1
GCF_012642145,UAB-20,1
GCF_012642125,UAB-21,1
GCF_012642105,UAB-22,1
GCF_012641545,UAB-23,1
GCF_012642085,UAB-24,1
GCF_012642055,UAB-25,1
GCF_012642035,UAB-26,1
GCF_012642015,UAB-27,1
GCF_012642005,UAB-28,1
GCF_012641975,UAB-29,1
GCF_012642345,UAB-3,1
GCF_012641965,UAB-30,1
GCF_012641935,UAB-31,1
GCF_012641925,UAB-32,1
GCF_012641905,UAB-33,1
GCF_012641855,UAB-34,1
GCF_012641885,UAB-35,1
GCF_012641825,UAB-36,1
GCF_012641845,UAB-37,1
GCF_012641765,UAB-38,1
GCF_012641775,UAB-39,1
GCF_012642355,UAB-4,1
GCF_012641805,UAB-40,1
G09_spades_contigs,UAB-41,1
G18_spades_contigs,UAB-42,1
GCF_012642325,UAB-5,1
GCF_012642305,UAB-6,1
GCF_012642275,UAB-7,1
GCF_012642265,UAB-8,1
GCF_012642235,UAB-9,1
GCF_000339995,W6,0
GCF_026782685,Y16035778,0
